数据库：月度数据
时间：最近36个月
指标,2025年11月,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月
居民消费价格指数(上月=100),99.9,100.2,100.1,100.0,100.4,99.9,99.8,100.1,99.6,99.8,100.7,100.0,99.4,99.7,100.0,100.4,100.5,99.8,99.9,100.1,99.0,101.0,100.3,100.1,99.5,99.9,100.2,100.3,100.2,99.8,99.8,99.9,99.7,99.5,100.8,100.0
食品烟酒类居民消费价格指数(上月=100),100.3,100.2,100.5,100.3,99.9,99.7,99.8,100.2,99.1,99.8,100.9,99.7,98.3,99.2,100.5,102.2,100.7,99.6,100.0,99.3,97.8,102.2,100.3,100.6,99.4,99.6,100.2,100.4,99.4,99.8,99.6,99.4,99.1,98.7,102.0,100.4
衣着类居民消费价格指数(上月=100),100.7,100.0,100.7,99.9,99.7,99.9,100.6,99.9,100.7,99.9,99.6,100.2,100.6,100.0,100.8,99.8,99.6,99.8,100.4,99.9,100.6,99.8,99.7,100.1,100.6,100.2,100.8,99.9,99.7,99.8,100.4,99.9,100.5,99.9,99.5,100.1
居住类居民消费价格指数(上月=100),99.9,99.9,100.0,100.0,100.1,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.0,100.0,99.9,100.0,100.0,100.1,99.9,100.0,100.1,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.1,100.1,99.9,100.0,100.0,100.1,100.0,99.9
生活用品及服务类居民消费价格指数(上月=100),99.6,99.8,100.3,99.9,100.8,100.2,99.2,100.0,101.3,99.9,100.7,100.3,99.4,100.1,100.0,99.3,100.4,99.6,99.3,100.4,100.0,99.5,101.0,100.8,99.8,100.1,100.1,99.7,100.6,99.5,100.0,100.0,99.5,100.0,100.0,100.3
交通通信类居民消费价格指数(上月=100),99.1,99.8,99.1,99.7,101.5,100.0,98.8,99.7,98.6,99.6,101.7,100.3,99.9,99.3,98.7,98.9,100.9,99.4,99.2,101.0,98.6,101.6,100.1,98.8,98.6,100.0,100.1,101.0,101.2,99.5,99.4,99.6,99.6,99.5,100.2,98.6
教育文化娱乐类居民消费价格指数(上月=100),99.2,100.3,99.6,99.9,101.3,99.9,100.1,100.4,99.2,99.5,101.5,100.0,99.3,100.2,99.7,99.9,101.3,99.8,99.9,100.5,97.9,101.7,100.7,100.1,99.1,100.0,100.4,100.2,101.3,99.8,99.9,100.5,99.9,99.2,101.3,100.1
医疗保健类居民消费价格指数(上月=100),100.1,100.3,100.2,100.3,100.2,100.1,100.1,100.2,100.0,100.0,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.1,100.0,100.2,100.1,100.4,100.1,100.1,100.0,100.0,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.2,100.3,100.0
其他用品及服务类居民消费价格指数(上月=100),101.2,103.8,101.3,100.0,100.9,100.5,100.7,102.4,100.4,100.7,101.6,100.0,99.9,101.1,100.0,99.4,100.9,99.8,100.1,102.0,100.6,99.8,101.1,100.3,99.4,100.1,99.9,100.0,100.9,99.4,100.2,101.0,100.8,99.7,101.1,100.4
非食品居民消费价格指数(上月=100),99.8,100.2,99.9,99.9,100.5,100.0,99.8,100.1,99.8,99.9,100.6,100.1,99.9,100.0,99.8,99.7,100.4,99.8,99.8,100.3,99.5,100.5,100.2,99.9,99.6,100.0,100.2,100.2,100.5,99.9,99.9,100.1,100.0,99.8,100.3,99.8
消费品居民消费价格指数(上月=100),100.1,100.2,100.3,100.1,100.2,99.9,99.7,100.0,99.6,100.0,100.6,99.9,99.3,99.6,100.2,100.7,100.4,99.6,99.9,99.9,99.1,101.1,100.2,100.1,99.5,99.9,100.4,100.4,99.9,99.7,99.8,99.5,99.5,99.4,100.7,99.9
服务居民消费价格指数(上月=100),99.6,100.2,99.7,100.0,100.6,100.0,100.0,100.3,99.6,99.5,100.9,100.1,99.7,100.0,99.7,99.9,100.6,100.0,99.9,100.3,98.9,101.0,100.4,100.1,99.6,99.9,99.9,100.1,100.8,100.1,99.9,100.3,100.1,99.6,100.8,100.1
不包括食品和能源居民消费价格指数(上月=100),99.9,100.2,100.0,100.0,100.4,100.0,100.0,100.2,100.0,99.8,100.5,100.2,99.9,100.0,99.9,99.8,100.3,99.9,99.8,100.2,99.4,100.5,100.3,100.1,99.7,100.0,100.1,100.0,100.5,99.9,100.0,100.1,100.0,99.8,100.4,100.1
数据来源：国家统计局
